======== Metadata Statistics ========,,
,,
Name,Count,Particles / mL
Cyanobacteria_Flourescence,2,2.62
Diatoms & Other Algae_Flourescence,8,10.49
Detritus & Decomposing_Flourescence,6,7.87
======== End Metadata Statistics ========,,
,,
======== Particle Property Statistics ========,,
,,
Name,Biovolume (P. Spheroid) Mean,
Cyanobacteria_Flourescence,2506.31,
Diatoms & Other Algae_Flourescence,9889.04,
Detritus & Decomposing_Flourescence,366.53,
======== End Particle Property Statistics ========,,
